ZCTA5CE20,ALLOC_AREA_FRACTARGET,ALLOC_AREA_FRACSOURCE
58278,0.0,0.0
58275,0.0,0.0
58045,0.0,0.0
58223,0.0,0.0
58225,0.0,0.0
58005,0.0,0.0
58047,0.0,0.0
58015,0.0,0.0
58219,0.0,0.0
58237,0.0,0.0
58201,3.849869581765831e-12,4.725307814065623e-11
58030,0.0,0.0
58075,0.0,0.0
58038,0.0,0.0
58218,0.0,0.0
58103,2.908068056234859e-11,2.1994038161764115e-09
58203,3.3927595490079006e-12,4.1731319906062016e-11
58104,3.056504408339155e-12,9.451862345315685e-11
58256,0.0,0.0
58077,0.0,0.0
58102,6.347142391821573e-11,1.7334051496100055e-09
58036,0.0,0.0
56744,0.0,0.0
58271,0.0,0.0
58001,0.0,0.0
57279,0.0,0.0
57030,0.0,0.0
56164,0.0,0.0
57259,0.0,0.0
56257,0.0,0.0
57260,0.0,0.0
56219,0.0,0.0
57213,0.0,0.0
56144,0.0,0.0
56220,0.0,0.0
57252,0.0,0.0
57216,0.0,0.0
57227,0.0,0.0
57276,0.0,0.0
57028,0.0,0.0
57068,0.0,0.0
57026,0.0,0.0
56136,0.0,0.0
57237,0.0,0.0
57218,0.0,0.0
54756,0.0,0.0
54624,0.0,0.0
54024,0.0,0.0
54840,0.0,0.0
54009,0.0,0.0
54629,0.0,0.0
54874,0.0,0.0
54082,1.7666731474053062e-11,1.1848916435340757e-09
54020,0.0,0.0
54723,0.0,0.0
54759,0.0,0.0
54022,0.0,0.0
54750,0.0,0.0
54601,1.8250711753835864e-19,2.1642480473367862e-18
54836,0.0,0.0
54014,0.0,0.0
54769,0.0,0.0
54610,0.0,0.0
54016,0.0,0.0
54025,0.0,0.0
54622,0.0,0.0
54632,0.0,0.0
54021,0.0,0.0
54880,0.0,0.0
54830,0.0,0.0
54661,0.0,0.0
55983,0.0,0.0
56562,7.91932213296097e-05,1.0
56668,0.0,0.0
55601,0.0,0.0
56013,0.0,0.0
56583,0.0,0.0
55106,3.568563495151067e-11,3.0626906991003357e-09
56501,0.0,0.0
56349,0.0,0.0
56585,0.0,0.0
55421,0.007455435857692616,0.9965473467137947
56187,0.0,0.0
55615,0.0,0.0
56167,0.0,0.0
56003,0.006018771505882958,0.12312197253919346
56637,0.0,0.0
56355,0.0,0.0
56248,0.0,0.0
56309,0.0,0.0
55021,0.0,0.0
56052,0.0,0.0
55122,4.7065795486478865e-11,3.763701157495376e-09
56324,0.0,0.0
55046,0.0,0.0
56474,0.0,0.0
56087,0.0,0.0
56450,0.0,0.0
56386,0.0,0.0
56756,0.0,0.0
56551,0.0,0.0
56041,0.0,0.0
56435,0.0,0.0
56541,0.0,0.0
56222,0.0,0.0
55072,0.0,0.0
55350,0.0,0.0
56207,0.0,0.0
56518,0.0,0.0
56265,0.0,0.0
56442,0.0,0.0
56050,0.0,0.0
55370,0.0,0.0
55432,0.011729191385419342,1.0
55395,0.0,0.0
55795,0.0,0.0
50590,0.0,0.0
52140,0.0,0.0
50556,0.0,0.0
51243,0.0,0.0
56160,0.0,0.0
56011,0.0,0.0
55352,0.0003976177131250643,0.0051741534659513365
55358,0.0,0.0
55070,0.0,0.0
55372,0.018982558337349024,0.2720044319676189
55417,0.0003347526722873211,0.06233870782910365
55956,0.0,0.0
55744,0.0,0.0
55932,0.0,0.0
55764,0.0,0.0
55767,0.0,0.0
55324,0.0,0.0
55947,0.0031918514680501515,0.036189242522558215
55325,0.0,0.0
56326,0.0,0.0
55607,0.0,0.0
56118,0.0,0.0
55390,0.0,0.0
56147,0.0,0.0
55353,0.0,0.0
56036,0.0,0.0
56721,0.0046672056270104885,0.02052060563649264
55436,1.3642766906492678e-05,0.0025210568674681245
56312,0.0,0.0
55732,0.0,0.0
55780,0.0,0.0
55785,0.0,0.0
56310,0.0,0.0
55790,0.0,0.0
55345,2.222773963562172e-11,1.7122760186232624e-09
55970,0.0,0.0
55805,0.0,0.0
55347,2.0051196922214902e-11,9.677874512153258e-10
55953,0.0,0.0
55427,0.00816835487763882,0.9999999990619562
56535,0.0,0.0
55934,0.0,0.0
55438,0.0,0.0
56669,0.0,0.0
55018,0.0,0.0
56626,0.0,0.0
56384,0.0,0.0
56663,0.0,0.0
55786,0.0,0.0
56308,0.0,0.0
56296,0.0,0.0
56470,0.0,0.0
56343,0.0,0.0
56211,0.0,0.0
55117,0.006118873720509814,0.5602782850927226
55308,0.0,0.0
55319,0.0,0.0
55107,2.221110317954502e-11,4.283590553339576e-09
56098,0.0,0.0
56235,0.0,0.0
56482,0.0,0.0
56636,0.0,0.0
55006,0.0,0.0
55721,0.0,0.0
55082,0.017922186094691435,0.18886787644964456
55052,0.0,0.0
56433,0.0,0.0
55085,0.0,0.0
55053,0.0,0.0
56215,0.0,0.0
55975,0.0,0.0
55049,0.0,0.0
56359,0.0,0.0
56726,0.0,0.0
56662,0.0,0.0
50531,0.0,0.0
51249,0.0,0.0
50450,0.0,0.0
50473,0.0,0.0
50478,0.0,0.0
52136,0.0,0.0
56236,0.0,0.0
55130,3.8451006497715445e-12,1.705256755901487e-09
56111,0.0,0.0
56101,0.0,0.0
55604,0.0,0.0
55606,0.0,0.0
55612,0.0,0.0
56058,0.0,0.0
55030,0.0,0.0
55124,0.019505741672353655,0.9999999991345406
56339,0.0,0.0
55019,0.0,0.0
55720,0.0,0.0
56678,0.0,0.0
55306,0.00776083259484126,0.9991847042552948
55088,0.0,0.0
56672,0.0,0.0
56576,0.0,0.0
56085,0.0,0.0
56519,0.0,0.0
56252,0.0,0.0
55971,0.0,0.0
56571,0.0,0.0
56316,0.0,0.0
56537,0.0,0.0
55954,0.0,0.0
56588,0.0,0.0
56466,0.0,0.0
55976,0.0,0.0
56282,0.0,0.0
55939,0.0,0.0
56473,0.0,0.0
56338,0.0,0.0
55063,0.0,0.0
56225,0.0,0.0
56289,0.0,0.0
55354,0.0,0.0
55924,0.0,0.0
55448,0.012320164224613265,1.0
56566,0.0,0.0
56240,0.0,0.0
55985,0.0,0.0
56336,0.0,0.0
56347,0.0,0.0
55955,0.0,0.0
56447,0.0,0.0
55366,0.0,0.0
55386,0.003858014350726651,0.46334981079041726
55338,0.0,0.0
55360,0.0,0.0
55056,0.0,0.0
55339,0.0,0.0
56448,0.0,0.0
55735,0.0,0.0
55405,9.12248382236199e-12,2.6969386019533084e-09
55401,0.0,0.0
55054,0.0,0.0
55411,4.6777906332148874e-05,0.010244031264544741
55964,0.0,0.0
55987,0.0,0.0
56660,0.0,0.0
56629,0.0,0.0
55407,0.0,0.0
55603,0.0,0.0
56354,0.0,0.0
56313,0.0,0.0
56453,0.0,0.0
56750,0.0,0.0
55378,0.013825409909909315,0.8238098936034907
56762,0.0,0.0
55749,0.0,0.0
56548,0.0,0.0
56046,0.0,0.0
56226,0.0,0.0
56081,0.0,0.0
56579,0.0,0.0
56044,0.0,0.0
55314,0.0,0.0
55416,0.006691210295821605,0.7794384564041723
56701,0.0,0.0
55013,0.0,0.0
55302,0.0,0.0
55016,0.012748586453216334,0.3372569177803642
55001,4.716541431741208e-05,0.0015119778371611256
56378,0.0,0.0
55005,0.0,0.0
55109,0.013864427189650218,0.9976669302006659
55312,0.0,0.0
56231,0.0,0.0
55385,0.0,0.0
56425,0.0,0.0
55310,0.0,0.0
55368,0.0,0.0
55041,0.0,0.0
56639,0.0,0.0
56156,0.0,0.0
56173,0.0,0.0
55969,0.0,0.0
55769,0.0,0.0
55736,0.0,0.0
55389,0.0,0.0
55731,0.0,0.0
56676,0.0,0.0
56315,0.0,0.0
56175,0.0,0.0
55328,0.0,0.0
56239,0.0,0.0
56759,0.0,0.0
56713,0.0,0.0
56357,0.0,0.0
56350,0.0,0.0
56729,0.0,0.0
55379,0.02213528036362288,0.3303815673701049
56142,0.0,0.0
56037,0.0,0.0
55765,0.0,0.0
55706,0.0,0.0
55422,0.00999523883990969,0.9999999982267215
55343,0.0037190317144606645,0.41917752593643676
55439,0.0,0.0
55113,0.017462559744804027,0.9968617637416262
56279,0.0,0.0
56320,0.0,0.0
56671,0.0,0.0
56575,0.0,0.0
56369,0.0,0.0
56110,0.0,0.0
56178,0.0,0.0
55787,0.0,0.0
55424,0.00013656497630330818,0.04933760689874018
56715,0.0,0.0
56367,0.0019010667024096156,0.01593301773105471
55982,0.0,0.0
55779,2.5776434884210514e-12,1.7184662782220482e-11
56331,0.0,0.0
56166,0.0,0.0
55375,0.002783053738799104,0.4271485131446645
56185,0.0,0.0
55442,3.1603811614741763e-11,4.886482836801482e-09
56033,0.0,0.0
56253,0.0,0.0
56437,0.0,0.0
51360,0.0,0.0
51354,0.0,0.0
50476,0.0,0.0
50455,0.0,0.0
50465,0.0,0.0
56030,0.0,0.0
56363,0.0,0.0
55903,0.0,0.0
56097,0.0,0.0
56511,0.0,0.0
56554,0.0,0.0
56186,0.0,0.0
56650,0.0,0.0
55105,0.0,0.0
56514,0.0,0.0
56170,0.0,0.0
56291,0.0,0.0
56688,0.0,0.0
56074,0.0,0.0
56119,0.0,0.0
56274,0.0,0.0
55038,0.01472834563262945,0.2396581670997664
55073,0.0,0.0
52134,0.0,0.0
50424,0.0,0.0
51241,0.0,0.0
56022,0.0,0.0
56146,0.0,0.0
56438,0.0,0.0
55415,0.0,0.0
56113,0.0,0.0
56065,0.0,0.0
56090,0.0,0.0
56152,0.0,0.0
56045,0.0,0.0
56301,0.0014386914263775426,0.016204906498243854
55429,0.0070623142854629615,0.9999999997067506
55919,0.0,0.0
55972,0.0,0.0
56284,0.0,0.0
56127,0.0,0.0
56469,0.0,0.0
56659,0.0,0.0
55369,0.018757732163282942,0.6315058400291721
55768,0.0,0.0
56183,0.0,0.0
55425,2.6413250814926886e-11,3.5379767095106216e-09
55444,0.005500429170216865,1.0
56536,0.0,0.0
55804,0.00012274658137853512,0.0010132782089275058
55936,0.0,0.0
56122,0.0,0.0
55357,1.1203769758268782e-13,4.9465281482385e-12
55921,0.0,0.0
56634,0.0,0.0
56377,0.010025247634453456,0.3889510768770734
55810,0.003480394785298726,0.06380154191458191
56335,0.0,0.0
55437,5.430250058614514e-06,0.000678450964253948
56294,0.0,0.0
55441,0.0004137012481132443,0.03654577238793637
55120,0.007013943341333846,0.9999999943408947
56376,0.0,0.0
55089,0.0,0.0
56569,0.0,0.0
55027,0.0,0.0
55797,0.0,0.0
55992,0.0,0.0
56563,0.0001792453431305185,1.0
56141,0.0,0.0
56056,0.0,0.0
56080,0.0,0.0
55055,0.004054843442649534,0.9403525096959918
55814,9.005602992191566e-05,0.9999999720289885
56711,0.0,0.0
56139,0.0,0.0
56023,0.0,0.0
56319,0.0,0.0
56464,0.0,0.0
56727,0.0,0.0
55104,0.0,0.0
56549,0.0,0.0
56304,0.00016622024083325608,0.0023524571268434187
55101,0.0,0.0
55102,8.292827645688724e-12,2.0967016306048055e-09
56630,0.0,0.0
56267,0.0,0.0
56014,0.0,0.0
51345,0.0,0.0
50472,0.0,0.0
52160,0.0,0.0
50514,0.0,0.0
56334,0.0,0.0
56264,0.0,0.0
56073,0.0,0.0
56360,0.0,0.0
56358,0.0,0.0
56681,0.0,0.0
56054,0.0,0.0
56657,0.0,0.0
56161,0.0,0.0
56531,0.0,0.0
55733,0.0,0.0
55033,0.0,0.0
56096,0.0,0.0
56069,0.0,0.0
56581,0.0,0.0
56567,0.0,0.0
56584,0.0,0.0
56763,0.0,0.0
56751,0.0,0.0
56714,0.0,0.0
55935,0.0,0.0
56260,0.0,0.0
55336,0.0,0.0
55922,0.0,0.0
55944,0.0,0.0
56083,0.0,0.0
56297,0.0,0.0
56534,0.0,0.0
56431,0.0,0.0
56449,0.0,0.0
56026,0.0,0.0
55709,0.0,0.0
55014,0.01950293372487005,0.7468659601067138
55333,0.0,0.0
55342,0.0,0.0
56060,0.0,0.0
55408,0.0,0.0
55397,0.0,0.0
55040,0.0,0.0
56755,0.0,0.0
56725,0.0,0.0
56733,0.0,0.0
55337,0.022244482026433327,0.9999999954457776
56162,0.0,0.0
56318,0.0,0.0
56132,0.0,0.0
56353,0.0,0.0
55403,0.0,0.0
56735,0.0,0.0
56728,0.0,0.0
56210,0.0,0.0
56734,0.0,0.0
55355,0.0,0.0
55746,0.0,0.0
56627,0.0,0.0
56382,0.0,0.0
55032,0.0,0.0
56168,0.0,0.0
55716,0.0,0.0
55775,0.0,0.0
55981,0.0,0.0
55748,0.0,0.0
56088,0.0,0.0
55943,0.0,0.0
56243,0.0,0.0
56327,0.0,0.0
56754,0.0,0.0
55925,0.0,0.0
56446,0.0,0.0
56758,0.0,0.0
56138,0.0,0.0
55090,0.00013296334387129507,1.0
55065,0.0,0.0
55923,0.0,0.0
56271,0.0,0.0
56528,0.0,0.0
56019,0.0,0.0
56484,0.0,0.0
56574,0.0,0.0
56465,0.0,0.0
55962,0.0,0.0
56586,0.0,0.0
55917,0.0,0.0
56533,0.0,0.0
56540,0.0,0.0
56557,0.0,0.0
56542,0.0,0.0
55087,0.0,0.0
56461,0.0,0.0
55115,0.004836049457223807,0.6531865593220791
56467,0.0,0.0
55068,0.011704856043210088,0.2195163689600905
56590,0.0,0.0
56468,0.0,0.0
56063,0.0,0.0
55434,0.010249921159982392,1.0
56278,0.0,0.0
56115,0.0,0.0
55927,0.0,0.0
56520,0.0,0.0
56001,0.004982859840815206,0.03904969571639923
55409,0.0,0.0
55387,1.6308387392449578e-05,0.0003762256723585187
55074,0.0,0.0
55042,0.011773735157698681,0.3902433774095756
55315,0.0018315555763636908,0.05811999588327524
55321,0.0,0.0
56732,0.0,0.0
55092,0.0013764263165689985,0.03266653496523277
55079,0.0,0.0
55382,0.0,0.0
55910,0.0,0.0
56221,0.0,0.0
56116,0.0,0.0
55959,0.0,0.0
56649,0.0,0.0
55367,0.0,0.0
56134,0.0,0.0
55341,0.003262405531846297,0.5834473280871937
55373,0.0,0.0
56201,0.0,0.0
56288,0.0,0.0
56228,0.0,0.0
55069,0.0,0.0
56748,0.0,0.0
56007,0.0,0.0
56368,0.0,0.0
55772,0.0,0.0
55941,0.0,0.0
55760,0.0,0.0
56216,0.0,0.0
56263,0.0,0.0
56214,0.0,0.0
56387,0.003197725736532625,0.31557209465587555
55719,0.0,0.0
55423,0.0080264426874985,0.997242678516993
56546,0.0,0.0
55902,0.0003880319013451835,0.008549827942249814
55901,0.0011451928695219024,0.03126122017396917
55806,0.0,0.0
