state,district_id,avg_CM,avg_LC,avg_LC_CM_SDO,avg_Missing,avg_SDO,med_CM,med_LC,med_LC_CM_SDO,med_Missing,med_SDO
Arizona,9007,506.73480315,783.79856614,295.94400803,374.42782886,2338.6865846,23.71,23.4,25.86,7.54,37.72
California,1570,144.57685101,122.77145075,89.129721639,44.883812938,692.67218041,9.16,9.66,11.66,2,33.585
California,2074,48.042894103,98.262101819,122.33838957,20.543905461,27.147658622,1.67,2.28,2.47,0.45,1.8
California,2106,54.788635922,111.62274249,91.751692042,29.122239616,186.55228832,6.78,3.79,9.625,1.66,3.15
California,2172,1341.9018743,441.64002576,434.93884158,71.329143532,2197.199267,7.755,10.4,19.13,1.46,9.005
California,2321,796.74142458,483.44917788,216.75156863,228.53726901,2642.7379913,24.54,21.8,20.13,5.5,69.93
California,3322,151.08368499,81.512248404,80.224143467,11.74164591,301.24928436,0.95,2.64,4.42,0.23,3.65
California,3412,397.2183036,168.60997006,230.64589593,63.875011801,863.42442301,6.16,4.79,5.29,0.74,11.21
California,4550,331.73701549,165.32281875,70.190400467,59.376003883,831.31291388,8.62,4.87,4.435,0.78,5.02
California,5604,156.34245944,181.08298456,122.47836161,65.415153855,553.91848642,11.51,6.23,12.88,1.66,34.93
California,7164,64.344177371,76.47792672,53.547214209,7.4953843718,298.99832777,0.7,1.42,1.01,0.16,2.2
California,7975,83.776018134,92.694188572,54.312501101,49.9475767,466.25132686,4.58,4.26,3.5,0.79,10.4
California,9357,885.98171804,146.43060647,62.523782169,37.967369531,928.67476253,1.26,2.51,2.575,0.38,2.655
Connecticut,1000,458.73776672,172.43104534,143.40636177,85.052723268,951.41756766,5.22,6.77,4.615,1.44,19.11
Connecticut,1142,656.21550535,628.58617129,443.69687958,740.77282945,1712.2845612,80.84,53.89,43.8,14.93,169.18
Connecticut,1444,375.68008286,437.98351043,203.90205581,357.83776091,2020.1256413,36.73,25.46,26.415,10.54,43.9
Connecticut,1450,317.9502974,209.64311771,326.74072501,43.471057845,1050.4483577,4.54,5.78,5.77,1.04,15.12
