Jurisdiction,locale,avg_scale_score_2022,std_dev_2022,avg_scale_score_2019,std_dev_2019
National,City,270,40,277,41
National,Suburb,279,40,287,40
National,Town,269,36,277,38
National,Rural,275,36,283,37
Alabama,City,264,42,265,40
Alabama,Suburb,273,40,280,38
Alabama,Town,260,36,260,37
Alabama,Rural,261,35,267,34
Alaska,City,‡,‡,‡,‡
Alaska,Suburb,‡,‡,‡,‡
Alaska,Town,‡,‡,‡,‡
Alaska,Rural,‡,‡,‡,‡
Arizona,City,267,40,278,40
Arizona,Suburb,282,40,286,37
Arizona,Town,260,35,266,37
Arizona,Rural,271,33,280,37
Arkansas,City,269,38,279,44
Arkansas,Suburb,266,36,272,37
Arkansas,Town,265,35,272,37
Arkansas,Rural,267,33,273,35
California,City,274,42,277,44
California,Suburb,269,42,277,41
California,Town,258,36,260,38
California,Rural,‡,‡,‡,‡
Colorado,City,270,42,281,41
Colorado,Suburb,280,39,289,39
Colorado,Town,271,34,277,36
Colorado,Rural,277,38,285,38
Connecticut,City,256,36,269,42
Connecticut,Suburb,282,42,292,41
Connecticut,Town,‡,‡,‡,‡
Connecticut,Rural,288,37,297,35
Delaware,City,259,41,274,42
Delaware,Suburb,264,37,274,41
Delaware,Town,265,36,282,34
Delaware,Rural,268,36,279,36
District of Columbia,City,260,40,269,42
District of Columbia,Suburb,‡,‡,‡,‡
District of Columbia,Town,‡,‡,‡,‡
District of Columbia,Rural,‡,‡,‡,‡
DoDEA,City,‡,‡,‡,‡
DoDEA,Suburb,‡,‡,‡,‡
DoDEA,Town,‡,‡,‡,‡
DoDEA,Rural,‡,‡,‡,‡
Florida,City,270,39,275,40
Florida,Suburb,272,38,279,40
Florida,Town,‡,‡,265,39
Florida,Rural,275,34,286,37
Georgia,City,260,39,271,42
Georgia,Suburb,275,41,283,40
Georgia,Town,268,35,275,36
Georgia,Rural,273,35,280,37
Hawaii,City,278,39,280,37
Hawaii,Suburb,272,36,279,38
Hawaii,Town,267,36,268,37
Hawaii,Rural,252,34,267,39
Idaho,City,284,36,289,37
Idaho,Suburb,284,36,288,36
Idaho,Town,279,37,280,38
Idaho,Rural,280,34,287,38
Illinois,City,264,36,278,41
Illinois,Suburb,282,40,286,41
Illinois,Town,265,33,278,38
Illinois,Rural,277,33,283,33
Indiana,City,266,40,276,41
Indiana,Suburb,285,40,290,36
Indiana,Town,276,34,285,34
Indiana,Rural,284,35,291,35
Iowa,City,267,38,271,39
Iowa,Suburb,284,36,298,34
Iowa,Town,275,37,279,35
Iowa,Rural,282,33,284,34
Kansas,City,266,39,275,39
Kansas,Suburb,280,36,293,37
Kansas,Town,267,35,281,38
Kansas,Rural,277,34,284,34
