Jurisdiction,locale,avg_scale_score_2022,std_dev_2022,avg_scale_score_2019,std_dev_2019
National,City,257,39,259,40
National,Suburb,264,38,267,37
National,Town,256,37,259,36
National,Rural,260,36,264,36
Alabama,City,245,40,253,40
Alabama,Suburb,261,38,259,37
Alabama,Town,247,37,248,36
Alabama,Rural,250,36,252,37
Alaska,City,‡,‡,‡,‡
Alaska,Suburb,‡,‡,‡,‡
Alaska,Town,‡,‡,‡,‡
Alaska,Rural,‡,‡,‡,‡
Arizona,City,257,37,256,38
Arizona,Suburb,266,36,266,33
Arizona,Town,251,34,256,34
Arizona,Rural,256,36,257,37
Arkansas,City,256,38,264,42
Arkansas,Suburb,251,36,261,38
Arkansas,Town,253,39,255,38
Arkansas,Rural,257,36,256,37
California,City,261,39,259,41
California,Suburb,259,38,261,37
California,Town,248,37,248,39
California,Rural,‡,‡,‡,‡
Colorado,City,260,41,264,39
Colorado,Suburb,267,37,270,36
Colorado,Town,258,37,259,40
Colorado,Rural,267,36,272,31
Connecticut,City,246,38,256,39
Connecticut,Suburb,270,36,274,36
Connecticut,Town,‡,‡,‡,‡
Connecticut,Rural,270,38,279,32
Delaware,City,250,39,258,39
Delaware,Suburb,251,39,257,41
Delaware,Town,255,38,262,39
Delaware,Rural,256,38,264,38
District of Columbia,City,250,41,250,43
District of Columbia,Suburb,‡,‡,‡,‡
District of Columbia,Town,‡,‡,‡,‡
District of Columbia,Rural,‡,‡,‡,‡
DoDEA,City,‡,‡,‡,‡
DoDEA,Suburb,‡,‡,‡,‡
DoDEA,Town,‡,‡,‡,‡
DoDEA,Rural,‡,‡,‡,‡
Florida,City,258,37,263,41
Florida,Suburb,261,37,263,38
Florida,Town,‡,‡,259,35
Florida,Rural,258,34,267,34
Georgia,City,254,42,258,38
Georgia,Suburb,262,41,264,36
Georgia,Town,257,39,256,35
Georgia,Rural,260,37,264,35
Hawaii,City,263,39,264,38
Hawaii,Suburb,263,38,261,38
Hawaii,Town,253,39,252,39
Hawaii,Rural,249,38,248,42
Idaho,City,265,35,269,36
Idaho,Suburb,265,38,270,35
Idaho,Town,261,34,262,35
Idaho,Rural,263,33,265,38
Illinois,City,249,39,258,40
Illinois,Suburb,268,38,267,38
Illinois,Town,255,34,263,39
Illinois,Rural,269,34,270,34
Indiana,City,253,39,255,40
Indiana,Suburb,266,36,274,34
Indiana,Town,259,36,263,37
Indiana,Rural,262,36,270,34
Iowa,City,252,38,256,39
Iowa,Suburb,265,34,275,34
Iowa,Town,257,37,257,35
Iowa,Rural,264,33,265,34
Kansas,City,253,39,257,39
Kansas,Suburb,263,35,274,32
Kansas,Town,253,36,261,33
Kansas,Rural,258,34,263,34
Kentucky,City,259,40,261,40
Kentucky,Suburb,253,40,266,37
Kentucky,Town,261,37,263,37
Kentucky,Rural,259,37,263,38
Louisiana,City,254,38,256,38
Louisiana,Suburb,258,36,261,36
Louisiana,Town,254,35,248,35
Louisiana,Rural,258,40,260,37
Maine,City,251,45,264,40
Maine,Suburb,267,35,272,37
Maine,Town,251,45,259,39
Maine,Rural,257,40,265,36
Maryland,City,260,45,255,44
Maryland,Suburb,258,42,265,39
Maryland,Town,‡,‡,266,38
Maryland,Rural,269,39,275,35
Massachusetts,City,258,40,263,40
Massachusetts,Suburb,271,36,275,36
Massachusetts,Town,‡,‡,‡,‡
Massachusetts,Rural,‡,‡,‡,‡
Michigan,City,249,37,251,37
Michigan,Suburb,261,38,265,34
Michigan,Town,260,34,266,32
Michigan,Rural,262,36,266,34
Minnesota,City,255,45,256,41
Minnesota,Suburb,265,34,268,37
Minnesota,Town,259,32,265,35
Minnesota,Rural,259,33,262,34
Mississippi,City,241,32,255,35
Mississippi,Suburb,262,34,264,35
Mississippi,Town,247,35,250,35
Mississippi,Rural,255,36,258,35
Missouri,City,251,40,260,39
Missouri,Suburb,262,40,267,38
Missouri,Town,257,33,265,34
Missouri,Rural,256,37,260,34
