State,2019_ERW,2019_Mathematics,2019_Total,2020_ERW,2020_Mathematics,2020_Total,2020_percent_graduate_take_SAT
Alabama,583,560,1143,576,551,1127,7
Alaska,556,541,1097,555,543,1098,37
Arizona,569,565,1134,571,568,1139,29
Arkansas,582,559,1141,590,567,1157,4
California,534,531,1065,527,522,1049,67
Colorado,518,506,1024,511,501,1012,100
Connecticut,529,516,1046,527,512,1039,100
Delaware,499,486,985,497,481,978,100
District of Columbia,495,480,975,498,482,979,100
Florida,516,483,999,512,479,992,100
Georgia,538,519,1058,537,516,1053,68
Hawaii,550,550,1100,549,546,1095,51
Idaho,505,488,993,500,484,984,100
Illinois,509,504,1013,504,503,1007,98
Indiana,543,537,1080,540,534,1074,64
Iowa,622,622,1244,611,609,1220,3
Kansas,618,623,1241,617,620,1237,4
Kentucky,620,612,1232,609,598,1207,4
Louisiana,610,591,1200,597,573,1170,5
Maine,512,502,1013,504,491,995,98
Maryland,535,523,1058,522,507,1029,88
Massachusetts,559,561,1120,560,559,1119,80
Michigan,507,496,1003,503,495,998,100
Minnesota,636,648,1284,624,633,1257,4
Mississippi,628,608,1237,610,593,1203,3
Missouri,622,614,1236,610,603,1212,4
Montana,603,596,1199,598,587,1185,10
Nebraska,628,631,1260,615,614,1229,3
Nevada,580,576,1156,579,571,1150,17
New Hampshire,533,526,1059,531,524,1055,93
New Jersey,544,545,1090,541,540,1081,82
New Mexico,543,530,1073,533,522,1055,19
New York,531,533,1064,528,530,1058,79
North Carolina,554,546,1100,553,544,1096,48
North Dakota,627,636,1263,615,617,1231,2
Ohio,550,548,1097,536,534,1070,21
Oklahoma,490,472,963,490,481,971,20
Oregon,562,550,1112,557,547,1104,51
Pennsylvania,545,537,1082,543,534,1078,67
Rhode Island,503,492,995,501,489,990,100
South Carolina,526,504,1030,524,503,1026,68
South Dakota,633,635,1268,609,610,1218,3
Tennessee,618,602,1220,601,585,1186,7
Texas,515,507,1022,510,500,1010,73
Utah,614,615,1230,601,603,1204,3
Vermont,560,546,1106,559,545,1103,63
Virginia,567,551,1119,567,549,1116,65
Washington,539,535,1074,539,534,1073,69
West Virginia,483,460,943,480,456,936,98
Wisconsin,635,648,1283,615,628,1243,3
Wyoming,623,615,1238,614,606,1220,2
United States,531,528,1059,528,523,1051,60
